ID,Platte,Library,Barcode,BGI_Sample,ID...6,Location,organ,age,sex,sample_id,Sample_loc,Name
Lung_9-m-24,P3,VW14,2,Lung_09,Lung_9-m-24,B11,Lung,24,m,Lung_9-m-24,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Lung_09/V350027368_L02_2_1.fq.gz,Lung_9-m-24
Heart_29-m-12,P3,VW14,30,Heart_29,Heart_29-m-12,F12,Heart,12,m,Heart_29-m-12,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Heart_29/V350027368_L02_30_1.fq.gz,Heart_29-m-12
MAT_9-f-18,P3,VW14,3,MAT_09,MAT_9-f-18,C11,MAT,18,f,MAT_9-f-18,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/MAT_09/V350027368_L02_3_1.fq.gz,MAT_9-f-18
Skin_6-m-24,P3,VW14,4,Skin_06,Skin_6-m-24,D11,Skin,24,m,Skin_6-m-24,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Skin_06/V350027368_L02_4_1.fq.gz,Skin_6-m-24
Small_Intestine_7-f-3,P5,VW15,13,Small_Intestine_07,Small_Intestine_7-f-3,E1,Small_Intestine,3,f,Small_Intestine_7-f-3,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Small_Intestine_07/V350027368_L03_13_1.fq.gz,Small_Intestine_7-f-3
Spleen_11-f-3,P5,VW15,14,Spleen_11,Spleen_11-f-3,F1,Spleen,3,f,Spleen_11-f-3,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Spleen_11/V350027368_L03_14_1.fq.gz,Spleen_11-f-3
Skin_14-f-18,P5,VW15,15,Skin_14,Skin_14-f-18,G1,Skin,18,f,Skin_14-f-18,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Skin_14/V350027368_L03_15_1.fq.gz,Skin_14-f-18
BAT_8-f-1,P5,VW15,16,BAT_08,BAT_8-f-1,H1,BAT,1,f,BAT_8-f-1,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/BAT_08/V350027368_L03_16_1.fq.gz,BAT_8-f-1
Bone_6-m-12,P5,VW15,1,Bone_06,Bone_6-m-12,A1,Bone,12,m,Bone_6-m-12,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Bone_06/V350027368_L03_1_1.fq.gz,Bone_6-m-12
Brain_3-m-1,P5,VW15,25,Brain_03,Brain_3-m-1,A2,Brain,1,m,Brain_3-m-1,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Brain_03/V350027368_L03_25_1.fq.gz,Brain_3-m-1
GAT_8-m-1,P5,VW15,27,GAT_08,GAT_8-m-1,C2,GAT,1,m,GAT_8-m-1,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/GAT_08/V350027368_L03_27_1.fq.gz,GAT_8-m-1
Liver_29-f-6,P5,VW15,28,Liver_29,Liver_29-f-6,D2,Liver,6,f,Liver_29-f-6,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Liver_29/V350027368_L03_28_1.fq.gz,Liver_29-f-6
Limb_Muscle_5-f-6,P5,VW15,29,Limb_Muscle_05,Limb_Muscle_5-f-6,E2,Limb_Muscle,6,f,Limb_Muscle_5-f-6,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Limb_Muscle_05/V350027368_L03_29_1.fq.gz,Limb_Muscle_5-f-6
Marrow_1-m-27,P5,VW15,2,Marrow_01,Marrow_1-m-27,B1,Marrow,27,m,Marrow_1-m-27,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Marrow_01/V350027368_L03_2_1.fq.gz,Marrow_1-m-27
Heart_8-m-1,P5,VW15,30,Heart_08,Heart_8-m-1,F2,Heart,1,m,Heart_8-m-1,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Heart_08/V350027368_L03_30_1.fq.gz,Heart_8-m-1
Lung_12-m-9,P5,VW15,31,Lung_12,Lung_12-m-9,G2,Lung,9,m,Lung_12-m-9,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Lung_12/V350027368_L03_31_1.fq.gz,Lung_12-m-9
Pancreas_22-f-9,P5,VW15,32,Pancreas_22,Pancreas_22-f-9,H2,Pancreas,9,f,Pancreas_22-f-9,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Pancreas_22/V350027368_L03_32_1.fq.gz,Pancreas_22-f-9
MAT_5-f-3,P5,VW15,3,MAT_05,MAT_5-f-3,C1,MAT,3,f,MAT_5-f-3,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/MAT_05/V350027368_L03_3_1.fq.gz,MAT_5-f-3
SCAT_8-m-6,P5,VW15,4,SCAT_08,SCAT_8-m-6,D1,SCAT,6,m,SCAT_8-m-6,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/SCAT_08/V350027368_L03_4_1.fq.gz,SCAT_8-m-6
Marrow_8-m-6,P5,VW16,13,Marrow_08,Marrow_8-m-6,E3,Marrow,6,m,Marrow_8-m-6,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Marrow_08/V350027368_L04_13_1.fq.gz,Marrow_8-m-6
MAT_10-m-6,P5,VW16,14,MAT_10,MAT_10-m-6,F3,MAT,6,m,MAT_10-m-6,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/MAT_10/V350027368_L04_14_1.fq.gz,MAT_10-m-6
Pancreas_21-m-15,P5,VW16,15,Pancreas_21,Pancreas_21-m-15,G3,Pancreas,15,m,Pancreas_21-m-15,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Pancreas_21/V350027368_L04_15_1.fq.gz,Pancreas_21-m-15
BAT_9-m-9,P5,VW16,1,BAT_09,BAT_9-m-9,A3,BAT,9,m,BAT_9-m-9,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/BAT_09/V350027368_L04_1_1.fq.gz,BAT_9-m-9
Small_Intestine_8-m-15,P5,VW16,25,Small_Intestine_08,Small_Intestine_8-m-15,A4,Small_Intestine,15,m,Small_Intestine_8-m-15,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Small_Intestine_08/V350027368_L04_25_1.fq.gz,Small_Intestine_8-m-15
Spleen_10-m-27,P5,VW16,26,Spleen_10,Spleen_10-m-27,B4,Spleen,27,m,Spleen_10-m-27,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Spleen_10/V350027368_L04_26_1.fq.gz,Spleen_10-m-27
